ApprovalFiscalYear,GrossApproval,NaicsCode,InitialInterestRate,BorrState,JobsSupported,LoanStatus
2014,362000,112511,6,FL,1,PIF
2015,1470000,112511,5.59,KY,13,EXEMPT
2016,236100,112511,5.5,MO,5,PIF
2017,4044800,112511,6.666666667,TX,19,EXEMPT
2019,25000,112511,11.04,ME,0,EXEMPT
2020,140000,112511,7.25,MS,8,EXEMPT
2012,90000,112512,6.5,MA,1,PIF
2013,110000,112512,5.25,RI,10,PIF
2015,170000,112512,6.875,LA,3,PIF
2016,757500,112512,6.041666667,VA,14,EXEMPT
2017,210000,112512,7.58,HI,10,EXEMPT
2018,518500,112512,7.25,NH,15,EXEMPT
2019,515800,112512,6.626666667,FL,18,EXEMPT
2020,15000,112512,7.5,WA,0,EXEMPT
2012,476000,112519,5.75,NE,3,EXEMPT
2013,1482800,112519,5.333333333,LA,11,PIF
2014,75000,112519,5.25,WI,4,EXEMPT
2015,50000,112519,7.25,HI,3,PIF
2016,60000,112519,7.1,NC,3,EXEMPT
2017,364000,112519,6.033333333,SD,6,EXEMPT
2018,2170000,112519,7,VA,76,EXEMPT
2019,10000,112519,10,MN,1,EXEMPT
2013,40500,112910,6.62,WI,0,PIF
2014,170000,112910,6.875,HI,3,EXEMPT
2015,269500,112910,7.1,MN,4,EXEMPT
2016,1566500,112910,5.9825,CA,4,PIF
2017,570000,112910,6.891428571,NY,53,PIF
2018,2030400,112910,6.602222222,MN,83,EXEMPT
2020,149900,112910,7.5,NE,2,EXEMPT
2012,505000,112920,6.493333333,MI,2,PIF
2013,3853500,112920,6.007272727,WI,32,EXEMPT
2014,1732300,112920,6.938,CA,11,PIF
2015,6830400,112920,5.936923077,KY,31,EXEMPT
2016,2462700,112920,7.375,OK,30,PIF
2017,2488000,112920,6.736363636,CT,10,EXEMPT
2018,5278000,112920,7.682,NY,40,EXEMPT
2019,2067500,112920,9.808333333,AZ,9,CANCLD
2020,343500,112920,8.2825,WI,9,COMMIT
2014,4464000,112930,5.25,WI,17,PIF
2015,100000,112930,5.9,UT,4,PIF
2017,2376600,112930,7,CA,14,EXEMPT
2020,25000,112930,7.5,OR,2,EXEMPT
2012,3258200,112990,6.208333333,LA,14,PIF
2013,6607500,112990,6.244444444,GA,25,PIF
2014,2870800,112990,6.45125,ID,35,EXEMPT
2015,1327600,112990,8.478,CO,25,EXEMPT
2016,1078500,112990,7.866666667,IA,10,PIF
2017,7577000,112990,7.143,OK,78,EXEMPT
2018,3199100,112990,6.677777778,PA,36,EXEMPT
2019,1425000,112990,10.23285714,NY,27,EXEMPT
2020,432200,112990,8.5,WY,6,EXEMPT
2012,540500,113110,5.25,VT,17,EXEMPT
2013,5288300,113110,6.695,MS,47,EXEMPT
2014,328200,113110,6.368333333,OH,13,PIF
2015,4706900,113110,6.054285714,PA,101,PIF
2016,3662400,113110,6.111428571,OH,56,EXEMPT
2017,1908700,113110,6.958333333,FL,30,EXEMPT
2018,904500,113110,8,TX,43,COMMIT
2019,232700,113110,7.89,MS,17,EXEMPT
2020,538168,113110,4.875,NH,16,EXEMPT
2012,316300,113210,5.825,FL,2,CANCLD
2013,1807000,113210,6.555,UT,10,EXEMPT
2014,1137500,113210,6.075,OR,27,EXEMPT
2015,45000,113210,8.225,NY,11,EXEMPT
2016,25000,113210,10,MD,4,PIF
2017,150000,113210,7,AL,5,CHGOFF
2018,67500,113210,8.03,IN,3,EXEMPT
2019,290000,113210,7,MI,6,EXEMPT
2020,2050000,113210,6.25,GA,26,EXEMPT
2012,15227675,113310,6.077258065,NY,283,PIF
2013,19410212,113310,5.883275862,NY,460,PIF
2014,9277900,113310,5.992419355,MN,281,PIF
2015,14816400,113310,5.927176471,MI,453,PIF
2016,12903493,113310,5.988722222,MS,367,PIF
2017,14301400,113310,6.177777778,MS,336,PIF
2018,11817000,113310,6.696984127,NH,282,EXEMPT
2019,14479000,113310,7.520645161,ID,261,EXEMPT
2020,2166800,113310,7.608888889,VA,80,EXEMPT
2012,1860000,114111,6.121111111,CA,33,PIF
2013,904900,114111,6,AK,28,EXEMPT
2014,3904000,114111,6.261538462,HI,55,PIF
2015,1165100,114111,6.371818182,MO,31,CANCLD
